code,name,market
3097,物語コーポレーション,prime
3099,三越伊勢丹ホールディングス,prime
3101,東洋紡,prime
3103,ユニチカ,standard
3104,富士紡ホールディングス,prime
3105,日清紡ホールディングス,prime
3106,倉敷紡績,prime
3107,ダイワボウホールディングス,prime
3109,シキボウ,prime
3110,日東紡績,prime
3111,オーミケンシ,standard
3113,ＵＮＩＶＡ・Ｏａｋホールディングス,standard
3116,トヨタ紡織,prime
3121,マーチャント・バンカーズ,standard
3123,サイボー,standard
3131,シンデン・ハイテックス,standard
3132,マクニカホールディングス,prime
3133,海帆,growth
3134,Ｈａｍｅｅ,standard
3135,マーケットエンタープライズ,standard
3137,ファンデリー,standard
3138,富士山マガジンサービス,standard
3139,ラクト・ジャパン,prime
3140,ＢＲＵＮＯ,growth
3143,オーウイル,standard
3148,クリエイトＳＤホールディングス,prime
3150,グリムス,prime
3151,バイタルケーエスケー・ホールディングス,prime
3153,八洲電機,prime
3154,メディアスホールディングス,prime
3156,レスター,prime
3157,ジオリーブグループ,standard
3159,丸善ＣＨＩホールディングス,standard
3160,大光,standard
3161,アゼアス,standard
3166,ＯＣＨＩホールディングス,standard
3167,ＴＯＫＡＩホールディングス,prime
3168,ＭＥＲＦ,standard
3169,ミサワ,standard
3172,ティーライフ,standard
3173,Ｃｏｍｉｎｉｘ,standard
3174,ハピネス・アンド・ディ,standard
3175,エー・ピーホールディングス,standard
3176,三洋貿易,prime
3177,ありがとうサービス,standard
3178,チムニー,standard
3179,シュッピン,prime
3180,ビューティガレージ,prime
3181,買取王国,standard
3182,オイシックス・ラ・大地,prime
3183,ウイン・パートナーズ,prime
3184,ＩＣＤＡホールディングス,standard
3185,夢展望,growth
3186,ネクステージ,prime
3187,ミラタップ,growth
3189,ＡＮＡＰホールディングス,standard
3190,ホットマン,standard
3191,ジョイフル本田,prime
3192,白鳩,standard
3193,エターナルホスピタリティグループ,prime
3195,ジェネレーションパス,standard
3196,ホットランドホールディングス,prime
3197,すかいらーくホールディングス,prime
3198,ＳＦＰホールディングス,prime
3199,綿半ホールディングス,prime
319A,技術承継機構,growth
3201,日本毛織,prime
3202,ダイトウボウ,standard
3204,トーア紡コーポレーション,standard
3205,ダイドーリミテッド,standard
3221,ヨシックスホールディングス,prime
3222,ユナイテッド・スーパーマーケット・ホールディングス,standard
3223,エスエルディー,standard
3224,ゼネラル・オイスター,growth
3231,野村不動産ホールディングス,prime
3232,三重交通グループホールディングス,prime
3236,プロパスト,standard
3237,イントランス,growth
3238,セントラル総合開発,standard
323A,フライヤー,growth
3241,ウィル,standard
